14-406-405,1-5 ACME TAP,4CNC
1928T81,"Poly Bags
100 bags per package 
10 package per case",7CUST
24X020SD,3/4 Banding 100Lbs Roll,4CUST
2X11GA,2'' x 11ga x 20 FOOT ROUND TUBING,4MAT
3OR-333-934,1 3/8-6 X 14.25'' TRACKER 4 ADUSTABLE MOUNT SCREW  PLAIN  C1045,4FTS
410060375COIL,".375 C1006 +.0015/-.0015 X COIL 
yield 36,000-50,000 KSI",4MAT
41008018703400,.187 C1008 X 34.00''  MUST BE STRAIGHT WITHIN .015 TOTAL,4MAT
410080250COIL,.250 C1008 +.0015/-.0015 X COIL,4MAT
410080312COIL,.312 C1008 +.0015/-.0015 X COIL,4MAT
410080331144,.331 C1008 (3/8-16) X 144.00''  .330-.332,4MAT
4100803750144,.375 1008 X 144'' CR ROUND,4MAT
4100803750240,.375 1008 X 240'' CR ROUND,4MAT
410080375COIL,.375 C1008 +.0015/-.0015 X COIL,4MAT
410150445144,.445/ 1/2-13 CR1018 X 12',4MAT
410180125144,1/8 X 12' 1018 ROUND,4MAT
410180187COIL,.187 CR 1018 X COIL,4MAT
410180213COIL,.213 C1018 +.000/-.002 X COIL BRITE BASIC,4MAT
410180215COIL,.215 CR 1018 (1/4-20) X COIL .213-.216,4MAT
410180225COIL,.225 CR 1018 (1/4-28) X COIL .223-.225,4MAT
410180250144,.250 CR 1018 X 144'',4MAT
410180250240,.250 CR 1018 X 20',4MAT
410180250COIL,1/4'' CR 1018 X COIL,4MAT
41018027403456,.274 X 34.562 CR1018 +.000/-.003,4MAT
410180274COIL,.274 CR 1018 (5/16-18) X COIL .272-.275,4MAT
410180283COIL,.283 CR 1018 (5/16-24) X COIL .281-.284,4MAT
410180312240,5/16 CR 1018 X 240.00'',4MAT
410180312COIL,5/16 CR 1018 X COIL,4MAT
410180312DRAW,5/16 HR 1018 (5/16-18/24) X COIL .296-.312,4MAT
410180331123,.331 C1018 X 123.00'' +.000/-.003,4MAT
410180331143,.331 C1008/1018 X 143.00''  +.000/-.003,4MAT
410180331144,.331 C1018 (3/8-16) X 144.00''  .330-.332,4MAT
410180331147,.331 C1008/1018 X 147.00''  +.000/-.003,4MAT
410180331165,.331 C1008/1018 X 165.00''  +.000/-.003,4MAT
410180331186,.331 C1008/1018 X 186.00''  +.000/-.003,4MAT
410180331200,.331 C1018 X 200.00''  +.000/-.003,4MAT
410180331COIL,.331 CR 1018 (3/8-16) X COIL .329-.331,4MAT
410180345COIL,.345 CR 1018 (3/8-24) X COIL .344-.346,4MAT
41018037240,3/8 X 20' 1018 ROUND,4MAT
410180375240,.375 CR1018  X 20 FT,4MAT
410180375COIL,.375 CR 1018 X COIL,4MAT
410180375DRAW,3/8 HR 1018 (3/8-16/24) X COIL .386-.389,4MAT
410180387COIL,.387 CR 1018 (7/16-14) X COIL .386-.389,4MAT
410180402COIL,.402 CR 1018 (7/16-20) X COIL .400-.403,4MAT
410180422COIL,12M-1.75 1018 PLAIN .421-.424,4MAT
410180437072,".437 CR 1018 X 6' ROUND

BLANKS USED FOR STOCK 1/2-10 ACME",4MAT
410180437144,".437 CR 1018 X 12' ROUND

BLANKS USED FOR STOCK 1/2-10 ACME",4MAT
410180437COIL,7/16 CR1018 X COIL,4MAT
410180437DRAW,7/16 HR 1018 (.375/.387) X COIL,4MAT
410180440144,.440 CR 1018 (1/2'' ACME) X 12' ROUND,4MAT
410180440COIL,.440 CR 1018 (1/2'' ACME)  .439 - .442,4MAT
410180445108,.445 CR 1018 (1/2-13) X 9' ROUND,4MAT
410180445120,.444 CR 1018 (1/2-13) X 10' ROUND,4MAT
410180445144,.445 CR 1018 (1/2-13) X 12' ROUND,4MAT
410180445240,.445 CR 1018 (1/2-13) X 20' ROUND,4MAT
410180445COIL,.445 CR 1018 (1/2-13) X COIL .444-.447,4MAT
410180465COIL,.465 CR 1018 (1/2-20) X COIL .462-.465,4MAT
4101804830228,.483 X 19' CR1215,4MAT
410180500144,1/2'' CR 1018 X 12' ROUND,4MAT
410180500240,1/2'' CR 1018 X 20' ROUND,4MAT
410180500COIL,1/2'' CR 1018 X COIL,4MAT
410180500DRAW,1/2 HR 1018 (1/2-13/20) X COIL .484-.496,4MAT
410180500DRAWGREEN,1/2 HR 1018 X COIL GREEN .484-.496,4MAT
410180531DRAW,.531 1008-1018 HR X COIL .500 FULL DIA,4MAT
410180545144,.545 CR 1018 (5/8-8 ACME) X 12' ROUND .542-.552,4MAT
4101805500144,.550 1018 x 12' (5/8-5P Coil) .550 +.000/-.003,4MAT
410180560240,.560 CR 1018 (5/8-11) X 20' ROUND .560-.563,4MAT
410180560250,.560 CR 1018 (5/8-11) X 250'' ROUND .560-.563,4MAT
410180560COIL,.560 CR 1018 (5/8-11) X COIL .560-.563,4MAT
410180625232,5/8'' CR 1018 X 19'-4'' ROUND,4MAT
410180625240,5/8'' CR 1018 X 20' ROUND,4MAT
410180625DRAW,5/8 HR 1018 (5/8-11/18) X COIL .593-.606,4MAT
410180645144,.655 CR 1018 (3/4-6 ACME) X 12' ROUND .654-.651,4MAT
410180645216,.655 CR 1018 (3/4-6 ACME) X 18' ROUND .655-.651,4MAT
410180665144,.665 CR 1018 (3/4-COIL) X 12' ROUND,4MAT
410180680088,.680 CR 1018 (3/4-10) X 88'' ROUND,4MAT
410180680144,.680 CR 1018 (3/4-10) X 12' ROUND,4MAT
410180680180,.680 CR 1018 (3/4-10) X 180'' ROUND,4MAT
410180680240,.680 CR 1018 (3/4-10) X 20' ROUND .679-.682,4MAT
410180680276,.680 CR 1018 (3/4-10) X 23' ROUND .679-.682,4MAT
410180680288,.680 (3/4-10) X 24' ROUND C1018 .679-.682,4MAT
410180680COIL,.680 CR 1018 (5/8-11) X COIL .677-.681,4MAT
410180706144,.706 CR 1018 (3/4-16) X 12' ROUND .704-.707,4MAT
410180708240,.708 X 20' CR1018 ROUND,4MAT
